bnf_code,bnf_name,items
0202020L0AABBBB,Furosemide 20mg tablets,4268985
0106040G0AAAAAA,Lactulose 3.1-3.7g/5ml oral solution,2455918
040201060AAACAC,Olanzapine 10mg tablets,738192
0601011A0BDABAC,Trurapi 100units/ml inj 3ml pre-filled Solostar pens,93493
1502010J0AABDBD,Lidocaine 50mg/5ml (1%) solution for injection ampoules,97540
0205051I0AAAAAA,Enalapril 2.5mg tablets,122230
1404000S0AAADAD,Typhoid polysaccharide 25micrograms/0.5ml vacc inj pfs,8259
0410030C0BFABAF,Physeptone 1mg/ml oral solution sugar free,666070
20030600343,Tegaderm Foam dressing (adhesive) 19cm x 22.2cm oval,3856
0102000T0AAAFAF,Peppermint oil 0.2ml gastro-resistant modified-release caps,94237
0404000M0BGADAU,Medikinet XL 10mg capsules,79276
0208010L0AAABAB,"Dalteparin sodium 5,000units/0.2ml inj pre-filled syringes",18521
1202010T0BBAAAA,Nasacort 55micrograms/dose nasal spray,10523
0409010H0BFACAK,Repinex XL 2mg tablets,18524
1303000AABFABAB,Menthoderm 1% cream,6813
20050300407,Provox skin barrier wipes,7582
0304010I0BBACAA,Zirtek Allergy 10mg tablets,3160
0502010C0AAAAAA,Itraconazole 100mg capsules,78462
1309000L0AAABAB,Benzalkonium chloride 0.5% shampoo,10433
23350703670,Nova Mini colostomy bag 20-50mm,529
0803042E0AAABAB,Cyproterone 100mg tablets,3353
0203020R0BCAAAA,Arythmol 150mg tablets,418
23355603805,"Welland FreeStyle Vie flushable colostomy bag with Dual Carb filter, medium 19mm",1493
0109010U0AABLBL,Ursodeoxycholic acid 250mg tablets,26341
0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free,188356
0106020I0AAAMAM,Docusate 100mg/5ml oral solution sugar free,17853
20030600070,Allevyn dressing (non-adhesive) 10cm x 20cm rectangular,1005
1304000V0CFABCF,Nystaform HC cream,8400
20050400155,Provox Swab cleaning swab medium,5371
23453374516,Neutralise deodorant grapefruit,1155
0208010D0BBACAC,Clexane 60mg/0.6ml inj pre-filled syringes,5356
22606156000,Ugo 9 non-sterile non-drainable night drainage bag,1688
0704020J0AAAUAU,Oxybutynin 3.9mg/24hours transdermal patches,11184
23944809509,Combihesive Natura two piece ostomy system ileostomy bag standard 45mm opaque,3681
21320000115,Bronchlear 3% inhalation solution 4ml vials,1558
040702040BPADAJ,Maxitram SR 200mg capsules,3426
23350703660,Nova colostomy bag opaque 20-60mm,4310
1201010H0AAABAB,Chloramphenicol 10% ear drops,233
0803020H0AAAFAF,Medroxyprogesterone 400mg tablets,1396
23944809741,Esteem Synergy two piece ostomy system stomahesive skin barrier with flexible collar 13-48mm,356
23603356135,Option Alginate ileostomy bag with filter and soft touch closure 20mm opaque,799
1307000V0BCAAAB,Zyclara 3.75% cream 250mg sachets,384
1310040M0BBAAAD,Derbac-M 0.5% liquid,4038
23600706401,NovaLife 1 ileostomy bag midi opaque 10-55mm,2448
23960109793,Moderma Flex convex urostomy bag with Flextend barrier and adhesive border 25mm beige,270
0601011L0BBAIAF,Humalog Junior KwikPen 100units/ml inj 3ml pre-filled pens,7490
0913261P0BDAAAD,Promin low protein fresh baked bread buns,1120
22306153011,Ugo self adhesive sheath pop on 40mm,31
1108020AFBBAAAA,Nevanac 1mg/ml eye drops,6714
0208010D0BBAGAG,Clexane Forte 150mg/1ml inj pre-filled syringes,2535
23940459602,Biotrol Softima Key two piece ostomy system baseplate 60mm,434
0106020C0BEAAAX,Fleet Bisacodyl 10mg/30ml enema,389
21300000964,Natklor 5% eye drops preservative free,341
0408010W0AABPBP,Sodium valproate 300mg/3ml solution for injection ampoules,111
23965909643,Welland Aura Plus urostomy bag midi 13mm-55mm black,164
1501041T0AAABAB,Midazolam 10mg/5ml solution for injection ampoules,960
22902959000,URIbag pocket sized male urinal,1697
21270001498,Juzo Expert Strong closed toe for,599
21280000136,Qufora IrriSedo extension tube,1275
1002020C0BBAAAI,Lioresal 10mg tablets,624
23355603838,Welland Aura colostomy bag maxi 13-60/80mm beige,1770
0407020A0BVADAG,Yemex 75micrograms/hour transdermal patches,219
23944809604,Combihesive Natura two piece ostomy system convex durahesive flange 25mm/45mm,538
0205051I0AACACA,Enalapril 10mg/5ml oral suspension,151
23603456134,"Pelican Select Afresh ileostomy bag with filter, standard 15-65mm clear",1447
0605010S0BBARBC,Genotropin MiniQuick 1.2mg inj pre-filled disposable devices,451
0307000C0AAAQAQ,Acetylcysteine 200mg oral powder sachets sugar free,204
0703023L0BDAAAA,Levosert 20micrograms/24hours intrauterine device,1074
20031600098,Aquacel Foam dressing (adhesive) 19.8cm x 14cm heel,629
0602010Z0BBABAA,Armour Thyroid 30mg (half grain) tablets,465
0407020ADBBAFAL,OxyNorm 10mg/1ml solution for injection ampoules,501
21020001394,WyCath H2O hydrophilic catheter paediatric 6Ch-10Ch,85
23355903554,"Colomate oval soft convex colostomy bag with filter and split cover, large",329
20030100577,Mepore Film & Pad dressing 9cm x 35cm,72
20030400132,Hydrocoll Border (bevelled edge) dressing 10cm x 10cm square,79
0403010F0AAAQAQ,Clomipramine 50mg/5ml oral suspension,158
23353353719,"Option Primo colostomy bag with filter, mini 10-50mm opaque",86
0913671C0BBABAA,SLO Milkshake+ IDDSI 1 Slightly Thick pdr 50g sach choc,168
23604106518,"Confidence BE ileostomy bag with filter and overlap, standard 28mm black",268
20200000116,DermaSilk gloves medium adult,329
0206010F0AAA5A5,Glyceryl trinitrate 300microgram sublingual tablets,116
23301023220,Comfizz Level III multisupport belt medium,36
0906040B0BEABAI,AlfaD 0.5microgram capsules,65
0801030L0BDAAAA,Hanixol 50mg tablets,414
21020001384,WyCath uncoated catheter paediatric 5Ch-6Ch,84
0913021J0BBAAAA,Aymes ActaJuni Shake Starter Pack powder,64
20050600006,Provox XL voice prosthesis cleaning brush,407
0407020Q0BQAEGI,Actimorph 30mg orodispersible tablets,227
21200000097,Altipress 40 Ulcer Kit medical stocking and compression liner regular large,129
23351003711,"Assura Inspire colostomy bag with filter, midi soft cover 25mm",135
0901020G0CRAACI,FoliSol 2.5mg/5ml oral solution,61
23355603891,Welland Aura convex colostomy bag maxi 48mm,156
23600456172,Softima Roll'Up ileostomy bag with filter beige 30mm,50
21280000131,Qufora IrriSedo Bed System 15 12mm,59
0601060D0DLAAA0,palmdoc iCare Advanced Solo testing strips,34
23601006361,"SenSura Mio soft convex ileostomy bag with filter, maxi 15-33mm",16387
23601006375,"SenSura Mio deep convex ileostomy bag with filter, midi 10-23mm",667
0501013L0AAAAAA,Co-fluampicil 250mg/250mg capsules,63
0906040G0BIAMDR,"Pro D3 20,000unit Vegan capsules",1433
20030900323,SilTact dressing 12cm x 15cm,24
23600706407,NovaLife 1 ileostomy bag mini clear 10-38mm,152
20150000007,LiquiBand flow control tissue adhesive,125
23300000054,Suportx shield ostomy belt with Easy Peel fastening extra large 20cm right shield skin,40
21270000822,Sigvaris Essential Comfortable class 1 (18-21mmHg) thigh length closed toe plus,33
0407020ADBJADAL,Shortec 10mg/1ml solution for injection ampoules,84
0901030J0BBAPAP,Aranesp SureClick 40micrograms/0.4ml inj pre-filled pens,32
0101021C0AABQBQ,Calcium carbonate 400mg capsules,46
20050300347,Shiley uncuffed tracheostomy tube with reusable inner cannula 81mm length 8UN85R,78
0501050C0AAAKAK,Erythromycin 250mg gastro-resistant capsules,28
20050600028,Laryvox tape hypoallergen oval,29
22302953043,Comfort Plus sheath 35mm,43
23301023195,Comfizz Level I female support vest medium/large teal,21
0902012H0BXABA0,SOS Rehydrate oral powder sachets citrus,28
0603020T0BNABAG,Dilacort 5mg gastro-resistant tablets (Cresent Pharma),74
030902000BEDSAZ,Buttercup Bronchostop Cough syrup,52
23945909497,Combimate SuperFlex two piece ostomy system 70mm flange 13mm,21
1001010P0AAAEAE,Naproxen 500mg tablets,4786098
0604012S0AAALAL,Progesterone micronised 100mg capsules,1134352
21010230175,EasyChamber Spacer,100181
1003020AFBBAAAA,Voltarol 1.16% Emulgel,314363
0101021B0BQADAL,Acidex Advance oral suspension peppermint,147436
0206020K0AAABAB,Lacidipine 4mg tablets,299930
0601023B0AAABAB,Pioglitazone 30mg tablets,214534
1106000P0AAAAAA,Dorzolamide 20mg/ml eye drops,230099
21010900808,Mylife Penfine Classic hypod ins needles for pre-filled /reusable pen injectors screw on 4mm/32gauge,73518
0901020D0BIAAAH,CyanocoMinn 1mg modified-release tablets,11461
0402010J0AAAKAK,Haloperidol 5mg tablets,75752
1202020Q0AAAAAA,Xylometazoline 70microg/Ipratropium brom 84microg/dose spy,134
0408010ALAAAGAG,Brivaracetam 50mg/5ml oral solution sugar free,8267
1201010B0BBAAAF,EarCalm 2% spray,15477
21280000169,Peristeen Plus anal irrigation system regular,10836
0105020A0AAAAAA,Budesonide 3mg gastro-resistant modified-release capsules,15399
0703010P0BBAAAA,Logynon tablets,10274
20050200130,Cascade shower protector,4406
0913141B0BBACAA,Altrashot 120ml bottles vanilla,11678
0604020D0BBAAAA,Androcur 50mg tablets,308
0402020AABBABAB,Risperdal Consta 50mg inj vials,1586
21010900631,FreeStyle lancets 0.5mm/28gauge,23844
0101010N0AAABAB,Antacid and Oxetacaine oral suspension,2451
0603020J0AADEDE,Hydrocortisone 15mg tablets,1043
0604012S0BBAAAE,Cyclogest 200mg pessaries,4065
0403020Q0AAAAAA,Tranylcypromine 10mg tablets,3483
0205010N0BBAAAA,Loniten 2.5mg tablets,190
0913021B0BBAAAA,PaediaSure fibre liquid (3 flavours),9952
0304010E0BBAAAA,Telfast 120mg tablets,3381
